Nummer,Zitat,Name,Position,Jahr,Anlass
1,Computer der Zukunft werden nicht mehr als 1.5 Tonnen wiegen.,Die Zeitschrift 'Populäre Mechanik',,1949,
2,"Ich denke, es gibt weltweit einen Markt für vielleicht fünf Computer.",Thomas J. Watson,Vorsitzender von IBM,1943,
3,Internet ist nur ein Hype.,Bill Gates,,1993,
4,"Nun kann ich Ihnen versichern: Datenverarbeitung ist eine Modeerscheinung, die das Jahr nicht überdauern wird.",Der verantwortliche Redakteur des Bereichs Wirtschaftsliteratur des Verlages Prentice Hall,,1957,
5,"Sobald ich eine sinnvolle Anwendung für einen Computer finde, werde ich mir einen besorgen.",Ken Olsen,Gründer und Präsident der Digital Equipment Corporation,,
6,"Es gibt keinen Grund, warum irgend jemand in der Zukunft einen Computer bei sich zu Hause haben sollte.",Ken Olsen,Gründer und Präsident der Digital Equipment Corporation,1977,
7,640 Kilobyte sind genug für jeden.,Bill Gates,,1981,
8,Computer sind nutzlos. Sie können nur Antworten geben.,Pablo Picasso,,1946,
9,Aber ... wozu ist es gut?,IBM-Ingenieur,,1968,Kommentar zum Mikrochip
10,"Es scheint, dass wir die Grenzen dessen erreicht haben, was mit Computer-Technologie möglich ist.",John von Neumann,,1949,
11,"Dann gingen wir zu Hewlett-Packard, und sie sagten, 'Hey, wir brauchen Sie nicht, Sie haben das College noch nicht abgeschlossen.'",Steve Jobs,Apple,,"über seine Versuche, Atari und Hewlett-Packard Company an seinem und Steve Wozniak Personal Computer zu interessieren"
12,Einkäufe per Computer werden niemals die Freuden des persönlichen Einkaufens ersetzen können.,John Naisbitt,amerikanischer Prognostiker,,
13,Dafür hat die amerikanische Durchschnittsfamilie keine Zeit.,Die New York Times,,1939,über die erste kommerzielle TV-Sendung
14,Wer braucht eigentlich diese Silberscheibe?,Jan Timmer,Phillips-Vorstand,1982,zur Compact Disc
15,"Na ja gut, es gibt das Internet. Aber es dauert zu lange, bis Sie sich dort alles zusammengesucht haben, und dann sollten Sie es auch noch an diesem unsäglich doofen Bildschirm lesen. Da hilft die Zeitung und sagt: Das ist heute für dich wichtig.",Michael Ringier,Verleger,2007,
16,"Für einen Reporter, der unterwegs Notizen aufschreiben will, ist das [ein Notebook] interessant. Aber für den Durchschnittsnutzer sind diese Geräte nicht so nützlich und es gibt auch kaum Software dafür.",Steve Jobs,Apple,1985,
17,"Es gibt nichts Neues mehr. Alles, was man erfinden kann, ist schon erfunden worden.",Charles H. Duell,US-Patentamt,1899,
18,Das 'Telefon' hat zu viele ernsthaft zu bedenkende Mängel für ein Kommunikationsmittel. Das Gerät ist von Natur aus von keinem Wert für uns.,Western Union,,1876,Interne Kurzinformation
19,"Die drahtlose Musikbox hat keinen denkbaren kommerziellen Wert. Wer würde für eine Nachricht bezahlen, die zu niemanden direkt gesendet wird?",David Sarnoff,,1920er,Rückmeldung zur Investition in das Radio
20,Facebook - das ist doch nur ein Verzeichnis im Web.,Rupert Murdoch,Medienmogul,2008,
21,"Aus dem iPad wird nichts, Netbooks gehört die Zukunft.",Bill Gates,,2010,
22,E-Mails sind ein absolut unverkaufbares Produkt.,Ian Sharp,Sharp Associates,1979,
23,"Wer hat jemals davon gehört, dass die US-Regierung die Informationen missbraucht hat?",Larry Ellison,Oracle,2013,zum Überwachungsskandal
24,Cloud Computing? Eine verrückte Modeerscheinung!,Larry Ellison,Oracle,2008,
25,In zehn Jahren ist Google tot.,Christian DuMont Schütte,Gesellschafter des Verlags DuMont Schauberg,2007,
26,Schon 1977 wird es einen perfekten Übersetzungscomputer mit korrekter Grammatik geben.,amerikanische Trendstudie,,1966,
27,In zwei Jahren wird das Spam-Problem gelöst sein.,Bill Gates,,2004,
28,"Wikipedia ist nur der Anfang ... Vom Erfolg der Enzyklopädie können wir lernen, neue Systeme zu bauen, die Probleme in Bildung, Verwaltung, Gesundheit, Gemeindearbeit und zahllosen anderen menschlichen Bereichen lösen.",Steve Johnson,Autor,,
29,"Smart sind nicht diese Geräte oder die sie benutzen, sondern die sie uns anpreisen, um unermessliche Reichtümer anzuhäufen und gewöhnliche Menschen zu kontrollieren.",Hans Magnus Enzensberger,Autor,2014,
30,"Online-Banking ist ein Segen, aber nur für Geheimdienste und für Kriminelle.",Hans Magnus Enzensberger,Autor,2014,
31,"Ihre Privatsphäre gibt es nicht mehr, finden Sie sich damit ab.",Scott McNealy,Chef von Sun Microsystems,1999,
32,"Es könnte sein, dass wir auf eine Gesellschaft zusteuern, die zwar immer reicher wird, in der alle Wohlstandsgewinne aber an diejenigen gehen, denen die Roboter gehören.",Paul Krugman,Wirtschaftsnobelpreisträger,,
33,Die Virenproblematik ist nur ein temporäres Phänomen und wird in ein paar Jahren verschwunden sein.,John McAfee,Gründer von McAfee,1988,
34,"Ich sage voraus, dass sich das Internet bald zu einer Supernova aufbläht und 1996 katastrophal kollabieren wird.",Robert Metcalfe,Erfinder des Ethernets,1995,
35,Das Internet? Gibt's diesen Blödsinn immer noch?,Homer J. Simpson,Sicherheitsinspektor des Kernkraftwerks Springfield,,
36,"Via Datennetz werden erheblich mehr Menschen als heute an der Verbreitung von Nachrichten beteiligt sein. Die Datenautobahn wird zum wichtigsten Werkzeug der Demokratie, das jemals erfunden wurde.",Bill Gates,,,
37,Zur Jahrhundertwende werden wir in einer papierlosen Gesellschaft leben.,Roger Smith,General Motors,,
38,"Das Internet ist eine Spielerei für Computerfreaks, wir sehen darin keine Zukunft.",Ron Sommer,Telekom-Chef,,
39,"In diesem Jahrtausend wird es zwei Arten von Geschäften geben: Die im Internet und die, die es nicht gibt.",Bill Gates,,,
